"Content","Video title","Duração","Inscritos","Avg Viewed %","Likes","Shares","Views","Impressões","CTR %","Avg View Duration","Ano","Data Publicação","Mês_Ano","Creator","Categoria","Total Comments","Link","Conversão Inscritos","Conversão Comments"
"MAB87lPX9Y4","Tetê Saiu Promessa e Voltou Craque",626,24,18.75,679,24,21266,162338,4.7,"00:01:57",2026,"2026-01-11","01-2026","Rai","COMO JOGA",43,"https://www.youtube.com/watch?v=MAB87lPX9Y4",0.0011285620238878963,0.002022006959465814
"JKbgMwG2fkc","A FARSA DO ""CORINGA"" GERSON",1036,167,40.52,3272,184,33004,432888,5.28,"00:06:59",2026,"2026-01-09","01-2026","João","COMO JOGA",161,"https://www.youtube.com/watch?v=JKbgMwG2fkc",0.005059992728154163,0.004878196582232456
"luuxs9gOJPs","O que o FLUMINENSE ESCONDE sobre as NOVAS CONTRATAÇÕES?",860,17,29.97,511,25,8056,131825,4.22,"00:04:17",2026,"2026-01-09","01-2026","Rai","COMO JOGA",47,"https://www.youtube.com/watch?v=luuxs9gOJPs",0.0021102284011916585,0.00583416087388282
"EQMCbR0sXcQ","OS SEGREDOS de TODAS as FORMAÇÕES de FUTEBOL",872,1160,42.74,8446,688,80895,1568354,3.52,"00:06:12",2026,"2026-01-06","01-2026","João","FUTEBOL INVISIVEL",166,"https://www.youtube.com/watch?v=EQMCbR0sXcQ",0.014339575993571914,0.0020520427714939117
"SDLiy0n5Th8","Por que a Inglaterra Não Assusta na Copa?",765,91,41.75,2155,60,27877,464419,4.04,"00:05:19",2026,"2026-01-05","01-2026","Felipe","FUTEBOL NO MUNDO",182,"https://www.youtube.com/watch?v=SDLiy0n5Th8",0.00326433977831187,0.00652867955662374
"gmjuSykxifc","Melhor que a Bélgica? A Noruega vai Surpreender na Copa do Mundo!",761,13,33.59,753,26,9240,167957,3.7,"00:04:15",2026,"2026-01-04","01-2026","Rai","FUTEBOL NO MUNDO",32,"https://www.youtube.com/watch?v=gmjuSykxifc",0.001406926406926407,0.003463203463203463
"__SULDxO90c","EU ACHEI O CAMINHO PARA VENCER A ESPANHA NA COPA",753,86,41.02,2473,86,27316,458090,4.14,"00:05:08",2026,"2026-01-03","01-2026","Felipe","FUTEBOL NO MUNDO",204,"https://www.youtube.com/watch?v=__SULDxO90c",0.0031483379704202665,0.007468150534485283
"9YA-PSMOwOc","COMO JOGAR FUTEBOL MELHOR em UM DIA",911,2236,29.45,9315,503,122959,1626657,4.05,"00:04:28",2026,"2026-01-01","01-2026","João","COMO SER JOGADOR",152,"https://www.youtube.com/watch?v=9YA-PSMOwOc",0.01818492342976114,0.0012361844191966429
"FFlVpeCC3LM","A ANÁLISE COMPLETA DO FANTÁSTICO ANO DO FLAMENGO",4257,37,22.25,1473,59,16481,260085,4.89,"00:15:47",2025,"2025-12-27","12-2025","Felipe","COSTURA",29,"https://www.youtube.com/watch?v=FFlVpeCC3LM",0.002245009404769128,0.0017596019659001274
"7_E0I84EAYE","O Santos de 2026 Vai Surpreender...",949,43,33.06,1108,27,21330,320643,4.85,"00:05:13",2025,"2025-12-26","12-2025","Rai","COMO JOGA",69,"https://www.youtube.com/watch?v=7_E0I84EAYE",0.002015939990623535,0.0032348804500703233
